State,Location,"All Ages, 2012","All Ages, 2014","Age 0-20, 2012","Age 0-20, 2014","Age 21-34, 2012","Age 21-34, 2014","Age 35-54, 2012","Age 35-54, 2014","Age 55+, 2012","Age 55+, 2014","Male, 2012","Male, 2014","Female, 2012","Female, 2014"
,,,,,4.3,,,,,,,,,,
Rhode Island,"Rhode Island
(41.707447, -71.522488)",4.5,2.3,,,,,,,,,6.3,,,
Minnesota,"Minnesota
(46.357661, -94.793397)",5.1,5.2,2.9,2.3,7.8,6.5,4.3,5.5,6.5,6.6,6.2,6.9,4,3.5
Arkansas,"Arkansas
(34.748745, -92.275105)",13.8,12,8,6.2,20.3,15.1,13.8,13.6,16.2,14,17.3,16,10.4,8.1
Missouri,"Missouri
(38.636168, -92.566292)",10.2,9.5,5.5,6.2,15.3,12.8,11.6,9.2,10.4,10.7,14.2,13.8,6.3,5.3
West Virginia,"West Virginia
(38.668501, -80.709421)",13.1,11.1,5.9,5.3,22.6,17.5,13.7,12.3,13.7,11.5,19.1,14,7.2,8.3
Wisconsin,"Wisconsin
(44.395526, -89.834513)",7.4,6.5,4.8,3.4,10.9,10.9,7.4,5.7,8,7.2,9.6,8.8,5.1,4.3
New York,"New York
(42.826892, -75.544286)",3.1,2.8,1.7,1.3,4.1,3.9,2.9,2.6,4.4,3.7,4.2,3.8,2,1.8
Connecticut,"Connecticut
(41.544654, -72.651713)",4.1,4,,,7.5,7.9,4,4,5.2,3.5,5.4,6,2.9,2
North Dakota,"North Dakota
(47.475879, -100.121011)",20.2,14.6,11,,25.2,22.3,27,17.4,18.6,12.2,29.3,21.8,10.5,6.8
Nebraska,"Nebraska
(41.640503, -99.367122)",9.2,10.3,7.7,4.7,13.6,16.8,8.1,11.6,9.1,9.7,12.8,14.3,5.7,6.2
Vermont,"Vermont
(43.622479, -72.51927)",8.4,4.5,,,19.2,,,,,,10.2,,6.5,
South Carolina,"South Carolina
(34.009286, -81.037094)",12,12,6.8,7.6,19.8,20.9,12.7,10.2,11.8,11.7,17,16,7.2,8.1
Florida,"Florida
(28.915325, -81.922409)",6.4,6.1,3.5,3.1,10,9.5,6.7,6,7.2,6.7,8.4,8,4.4,4.2
Hawaii,"Hawaii
(21.30992, -157.858158)",4,2.6,,,,,,,,,5.7,3.9,,
Nevada,"Nevada
(39.491833, -117.070159)",5.4,5.3,3.5,4.1,6.2,7.1,4.6,4.6,8.4,5.5,6.5,6.5,4.3,4
Maryland,"Maryland
(39.290443, -76.612333)",5.3,4.4,3.3,1.4,9.3,8.9,4.2,3.2,6.1,5.2,7.1,6,3.7,2.9
Illinois,"Illinois
(40.477092, -88.993221)",4.7,5,2.5,2.4,8.8,7.6,3.6,4.3,5.6,6.3,6.3,6.3,3.2,3.8
Mississippi,"Mississippi
(32.738663, -89.537312)",16,16.4,8.6,9.2,24.6,25,16.7,17.3,17.6,16.7,22.3,22.7,10,10.6
Arizona,"Arizona
(34.869712, -111.760902)",7.4,6,5,3.4,12,8.4,7.3,6,6.9,6.9,10.2,7.3,4.7,4.8
Texas,"Texas
(31.827233, -99.423022)",9.1,9.5,5.2,5.1,14.5,14.7,8.9,9,9.5,10.5,12.2,13,6,6.1
Virginia,"Virginia
(37.542699, -78.45822)",6.8,6,3.9,3,8.9,8.4,6.7,5.9,9.3,7.3,9.3,8,4.3,4
North Carolina,"North Carolina
(35.47995, -79.180571)",8.6,8.9,5.1,5.2,12.5,12.7,8.7,8.1,9.9,10.9,11.5,12.2,5.9,5.9
Tennessee,"Tennessee
(35.681402, -85.774444)",11.7,11.1,6.1,5.4,16.4,15.6,12.3,11.5,15,13,16.8,15,6.9,7.4
Utah,"Utah
(39.359772, -111.584173)",5.5,5.9,2.5,3.5,6.7,5.9,6.8,6.1,6.4,7.7,5.9,7.2,5,4.6
Michigan,"Michigan
(44.66399, -84.711206)",6.2,6,3.8,3.7,10.9,9.4,4.9,5.6,7.5,6.4,8.3,7.8,4.2,4.3
Alabama,"Alabama
(32.839182, -86.631125)",13.7,13,8.6,6.9,20.8,17.8,12.6,14.2,15.5,14.6,17.6,17.2,10,9
Maine,"Maine
(45.252223, -68.986647)",9.4,7.5,6.6,,18,9.8,7.3,8.1,9.1,9.3,13.2,10.1,5.8,5
Kansas,"Kansas
(38.345528, -98.201847)",11,10.4,7.5,5.8,13.9,14.6,10.7,8.8,13.1,13.6,15.1,14.7,6.7,6.2
New Hampshire,"New Hampshire
(43.657736, -71.500736)",5,4.6,,,,9.4,,,6.8,,7.3,5,2.8,4.2
Alaska,"Alaska
(64.836661, -147.738891)",5.4,5.9,,,,,,,,,5.5,7.5,,
Oregon,"Oregon
(44.567912, -120.156945)",5.1,6,2.6,3.4,7.9,7.5,4.3,6.4,7.3,7,5.9,6,4.2,7.6
Idaho,"Idaho
(43.680635, -114.364237)",8.6,8.6,4.5,5.4,12,11.4,8.8,7.3,10.9,10.6,10.4,10.6,6.9,6.5
United States,"United States
(18.060868, -64.840836)",7,6.8,4,3.7,10.8,10.1,6.8,6.6,8.1,7.8,9.4,9.2,4.7,4.5
Washington,"Washington
(47.517368, -120.467672)",3.9,4.3,2.1,2.6,5.3,6.3,4.2,3.6,4.3,5.1,5.2,5.7,2.5,2.9
South Dakota,"South Dakota
(44.35371, -100.373709)",12,12.5,9.5,,17.9,16.1,12.1,10.3,10.1,16.9,15.4,17.1,8.5,7.7
Kentucky,"Kentucky
(37.64591, -84.774043)",12.9,11.5,6.7,6.2,19.7,16.3,13.4,11.9,13.7,13.1,15.7,15.8,10.1,7.4
Indiana,"Indiana
(39.76845, -86.156212)",8.1,7.9,5,3.1,12,12.8,7.2,8.4,9.9,8.7,10.9,11.2,5.3,4.6
Iowa,"Iowa
(42.46942, -93.815856)",8.7,7.4,4.4,4.5,11.7,8.5,9.6,8.2,10.3,8.8,11.3,9.7,6,5
District of Columbia,"District of Columbia
(38.892062, -77.019912)",,,,,,,,,,,,,,
Ohio,"Ohio
(40.056807, -82.405897)",6.9,6.5,3.6,3.7,9.6,10.2,7.6,6.1,8,6.9,9.1,8.2,4.7,4.8
Pennsylvania,"Pennsylvania
(40.789676, -77.858055)",6.8,6.1,4.5,2.7,11.1,8.7,6.4,5.9,7.3,7.9,9.2,8.2,4.4,4
Louisiana,"Louisiana
(31.2931, -92.463284)",10.4,11.2,6.9,5.9,15.6,16.9,10.3,12.6,10.5,11,13.9,16.4,7.1,6.4
Oklahoma,"Oklahoma
(35.468494, -97.521264)",14.3,14.2,6,7.9,22.7,16.1,15.7,15.7,15.9,17.6,19.2,18.9,9.6,9.7
Georgia,"Georgia
(32.836038, -83.631709)",8.5,8.3,3.9,3.7,12.1,11.1,8.2,8.5,12.1,10.6,11.7,11.3,5.5,5.5
New Mexico,"New Mexico
(34.520396, -106.244402)",11.1,11.9,6,7,14.3,21.6,13.7,13.2,11,8.5,15.1,15.6,6.9,8.2
Wyoming,"Wyoming
(43.23558, -108.110518)",17.5,21,,,29.5,37.5,14.9,21,20.7,19.7,21.9,27.7,12.9,14.3
Colorado,"Colorado
(38.841772, -106.132562)",5.8,6,3.3,3.6,8.8,8.7,4.8,5.5,7.3,6.7,7.4,7.5,4.1,4.4
California,"California
(37.640735, -121.002435)",4.2,4.3,2.4,2.7,6.9,6.9,4,3.5,4.5,4.7,5.6,5.7,2.7,2.8
Massachusetts,"Massachusetts
(42.268546, -72.085064)",2.9,3,1.8,1.2,4.7,4.4,2.2,3.1,3.9,3.7,4.1,4.6,1.7,1.5
New Jersey,"New Jersey
(40.104655, -74.386686)",3.6,3.4,2.1,2.1,6.2,4.5,2.8,2.9,4.7,4.5,5,4.7,2.4,2.2
Delaware,"Delaware
(39.008676, -75.574561)",6.9,8.2,,,13,16.6,,,,9.7,10,10.3,4.1,6.3
Montana,"Montana
(47.062617, -109.430168)",16.4,14.8,10.6,10.2,29.6,23.7,17,16.6,12.5,11.2,21.9,19.1,10.9,10.3
